	Movie	Review	Predicted
0	Groundhog Day	You will not be permitted to continue your life until you fuck Andie MacDowell.  THE GODS DEMAND THAT YOU GET INSIDE ANDIE MACDOWELL'S PANTS.	2
1	Pulp Fiction	(after repeat viewings) Among my favourite screenplays of all time: the non linear structure makes for a deliciously madcap viewing experience, in which Tarantino weaves together threads of mirthful mayhem, disarming sweetness and genuine hilarity into an amazingly coherent whole. There aren't enough thumbs in the world to do Pulp Fiction half the justice it deserves, I just love this film!	2
2	Apocalypse Now	My favorite film, a surreal, haunting, visually flamboyant masterpiece. It's one awe-inspiring sequence after another, from the Ride of the Valkyries bombing to the incredibly nightmarish encounter at the Do Luong bridge. (Who's your commanding officer? Ain't you?) Few other epics so freely embrace their own insanity, and it works to brilliant effect. Some movies transcend their genres; this one transcends its medium. This is the end...	2
3	Lost in Translation	I love it.  It's just nice to look at all the beautiful scenery, very dreamy.  I can always pop this in if I'm having a bad day and feel infinitely better.  Also, the soundtrack is perfect and Kevin Shields should be forced to work on more films.  Bill Murray is always immensely watchable and it's no different here.  One of my favorites.	2
4	Let the Right One In	Truly original. Perfectly balanced. The mix of vampire-horror with a coming-of-age story of a bullied boy proves very potent because supernatural happenings to Oskar seem not that much more violent and weird than the everyday life of growing up. The kids are as great as the cinematography is brilliant. A wonderful surprise and the best film of 2008.	2
5	Jack	Francis Ford Coppola's masterful followup to The Godfather saga.	2
6	Terminator 2: Judgment Day	This movie is the true reason for Arnold Schwarzenegger's fame. He plays the role of the Terminator to perfection and Robert Patrick's distinct haunting presence is brilliant. The visuals are, even now, quite impressive. The dialog and story are both excellent. Indeed, this is one of the best action films you'll ever see and arguably James Cameron's best film.	2
7	Jurassic World	..and as you can see the head accountant continues, adding the Poochiesaurus Rex boosts expected revenue to ridiculous heights. The Omni Consumer Products execs applaud. Once we realised we could simply copy the original product and replace its 'suspense' and 'sense of wonder' with our InsultinglyContrivedBullshit formula, we got results! We present to you... Jurassic World!. A reanimated dinosaur corpse shuffles into the room. It opens its crooked, drooling maw. Money falls out. Applause.	0
8	Chinatown	Polanski does a wonderful job, the cast does a wonderful job, but Robert Towne's script steals the show. After a thousand little pieces fall right into place at the very last scene, the sheer perfection of this story hits you, hard.	2
9	Alice in Wonderland	In his most strident political commentary since Planet of the Apes, Burton shows the folly of the current American Two Party system, and the malaise caused by the healthcare lobby through the Red Queen's associates. In quite an intertextual populist jibe, he mocks the jobless economic recovery by employing over 200 CGI animators to create even less character and life than 30 dudes with pencils in the 1950's.	2
10	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	A magnificent black comedy. Peter Sellers does a great job with all his characters and even 40 years later much of the film's biting satire still feels relevant.	2
11	Pan's Labyrinth	I love a good film about imagination and private fantasy worlds, and Pan's Labyrinth had me spellbound from beginning to end. Even though the template for the story is a fairy tale, the film has layers of complexity to it. The story is helped along immensely by wonderful art direction and special effects for the more fantastical elements, and perfect acting for the more earthbound parts. Fantastic stuff.	2
12	Elysium	Proper health care is science fiction to Americans.	2
13	Scott Pilgrim vs. the World	Not just canny commentary on how this generation's experiences are inextricably mediated through the prism of pop culture; it captures an attendant myopia, too. Any coincidence the film parallels Scott's fundamental narcissism w/ the endless parade of exclusionary inside jokes? Or that Scott (and by extension the audience) finds it impossible to separate his culture-saturated inner world from the world at large? It's all exhilaratingly, uninhibitedly hyperreal: Baudrillard would have a field day	0
14	2001: A Space Odyssey	The greatest American film of the 1960s, and probably the pinnacle of cinematic expression thus far achieved. A unique film, 2001: A SPACE ODYSSEY is a reflection on the correspondence of anthropogenesis and technogenesis, and on the fate of this common origin. Note to first-time viewers: the first viewing of this film must be nowhere else than in a well-equipped large-screen cinema with high-quality sound. A singular achievement.	1
15	A Clockwork Orange	Brilliant, savagely cynical, perceptive, funny, perpetually relevant - this movie, for me, perfectly demonstrates the power of the film medium at its highest potential. The comments on virtue, free will, redemption, religion, government, radicalism, and the human spirit are accurately and beautifully expressed through McDowell's sublime performance and Kubrick's impeccable and meticulous direction.   	2
16	Alice in Wonderland	Tim, I think we need to talk. I want us to start seeing other films. This just isn't working for me, and I've been feeling this way for a long time. I've told you time and time again to plant the red roses, yet you keep planting the white ones and I refuse to keep up this nonsensical painting business. I guess this is goodbye. PS: Stephen, call me later. ;) 	0
17	Inglourious Basterds	Basterds has some truly jaw dropping, laugh out loud and cringe worthy moments that you won't soon forget. Over time this will become a classic that will made example of for the right reasons. Christoph Waltz particularly shines in one of the most awe inspiring casts who together produce some of the best lines you will hear in film. Fluently blends genres to create the ultimate extravaganza.	2
18	Angels & Demons	This film is based on the ungood book by Dan Brown. As the book is written in a style that is not good I thought I would write my review about this bad film & its badness in the same style Mr Brown does his books when he writes his books. In short the silly film is not a good film, as the silly film is boring and dull and is not a good film. Even a competent director as Ron Howard can't make the silly film unsilly, as its based on the poorly written book which resulted in the film being ungood.	0
19	2001: A Space Odyssey	My favorite film, impossible to overstate the pedestal from which it radiates. A monument reverberating through science fiction, special effects technology, the art of cinema. The most spellbinding audiovisual work of the mid-century; brain-itching allegory conveyed with spine-tingling aesthetic sensations.  Scientific plausibility and human ingenuity cannot contain this far out imagination, expressionist and surreal, an ambiguous spiritualism, cosmic wonder at all things beyond mortal capacity.	1
20	Beginners	The impossible task of trying to love and live, while dealing with an existential grief is handled expertly in Beginners. It's a real rarity: A movie that feels genuine. Strip away the interactions, the small shifts in facial expressions and all the things unsaid, and you're left with a very ordinary movie. Fortunately these things can't be stripped away. They're part of the movie's flesh and blood. They're the very fabric of life. Beginners is pain and catharsis rolled into one.	0
21	Ted	The joke distribution is about 50% Haha, I get that reference, 20% fart jokes, 10% racism, 5% gross out humor, 3% slapstick, 2% gay jokes, and about 10% that I actually found funny. All of which, unlike on Family Guy, are woven into a coherent plot, albeit a predictable and completely formulaic one. This comedy sometimes works, but the humor and plot are just lazy, and that prevents this from ever being anything more than mediocre.	1
22	Leprechaun 4: In Space	Not since _Citizen Kane_ has there ever been... just kidding.	1
23	Big Hero 6	This is a great movie if you've never seen a movie before.	2
24	The Hunger Games	This is where I mention that It's no Battle Royale and then all the beautiful women in the world flock to me because I have shown them how cool and smart I am by having seen/read a more obscure movie/book that this borrowed heavily from. I will await these women in my bedding chambers.	0
25	Fifty Shades of Grey	"So no means yes? I asked. 

Yes, he said. 

Does that mean no? I asked. 

No, he replied. 

So, yes? I asked again. 

No. 

Yes? 

Yes, but no. What I mean is yes-yes. 

To no-yes or yes-no? 

I had a lot to learn about sex."	1
26	The Good, the Bad and the Ugly	During the entire three hour duration I was riveted, this movie has so many compelling and beautiful settings that when combined with the fine screenwriting/acting/directing/music it is no doubt one of the best movies I have ever seen.	2
27	Star Wars: Episode IV - A New Hope	What can anyone really say about this film at this point? It shaped the imaginations of a billion children , and to this day remains relevant and is spawning spin offs. Just goes to show you not every script has to be as detailed as Inception to be a great movie experience. 	0
28	There Will Be Blood	I can't describe how good it is. There Will Be Blood is a classic from start to finish. This will go down in history as one of the most crushing, and powerful movies ever to hit the cinema. Amazing plotline and brilliant direction along with incredible acting from Day-Lewis and the rest of the cast. Has several memorable scenes too that puts chills down my spine. Just a masterpiece.	2
29	Blade Runner	Blade Runner is more than Ridley, Vangelis, P.K. Dick, more than it's crew or material used in the work. From childhood the first time I saw the movie it's effect still dwells in my mind. The scenery is more melancholic than fourties America, or seventies France where hardboiled noir has it's own space. For me no special effect surpassed the beauty of Blade Running. Like a visual track for the lost causes. (ok managed to sound not like a scifi nerd, oh no movie geek is still at large)	1
30	Oblivion	Sally draws inspiration from 2001, the mechanic (Wall-e) brings a flower to his girl (Eva) and mantains a house of Earth souvenirs -- just like the Pixar film --, the human beings that still live here wear Predator-like masks and inhabit a location that seemed to be borrowed from Matrix. And the music is from Tron. And other references go from Moon to Independence Day. This drone-oriented, what-you-believe-about-everything-is-a-lie, me-and-my-clones sci-fi should just be called Copie Conforme.	0
31	Twilight	I nearly died of ennui. Boring, vaguely sexist crap for fat girls and morons. Here is a list of things that are terrible: the writing, the direction, the special effects, the cinematography, the bulk of the acting, the premise, etc. Fuck you, movie. 	0
32	Argo	This film is just like Ben Affleck himself, it possesses a well put together vanilla exterior, says the right things, and does an adequate storytelling job but is still missing something. There's just not enough of a cerebral introspective look at the incident. Affleck successfully adapts straight forward character interaction and footage but gives us nothing new that a documentary wouldn't have done better. It is a well shot and acted piece with entertaining moments but light and too Hollywood.	0
33	Taxi Driver	De Niro is insane in his role as Travis Bickle, but he's not the only brilliant character in this film: 1970s New York City comes to life as a dirty, crime-infested world of extremes, a world that drives Bickle to the actions he commits, all thanks to Scorsese's brilliant direction. Few other films come close to the slowly growing insanity that this film provides, seemingly without effort, as it lets these two insane characters bounce off each other and grow.	2
34	2001: A Space Odyssey	Perfect cinematography, score, acting, editing, directing, screenplay, story. If I was on an island and I could only pick 1 movie, this would be it.	2
35	A Clockwork Orange	A Clockwork Orange is easily one of the greatest, and yet strangest and controversial films of all time. When you sit down and watch this film, you will have a large variety of emotions going through you. You'll watch this film and be disturbed about what you see, and yet you can't help but laugh at some of the things they say. It's truly a unique experience. Kubrick paints a perfect portrait of the future, filled with memorable scenes and a great score. Unique and Different. 	2
36	Guardians of the Galaxy	Okay, this movie was pretty awesome! What makes Guardians of the Galaxy worth watching is the not only the writing, but also it's visuals, cool characters, good sense of humor, music, and the true spirit it has for adventure. It's not afraid to take risks but it is definitely one of the strongest movies I've seen from Marvel and it's full characters who (almost) all stand out. I left the theater very happy and excited for the next MCU film. I can't wait to see more of these characters!	2
37	Batman v Superman: Dawn of Justice	I love it, and the hate is unfounded. It feels like a comic book, whereas Nolan did not (and stop comparing the two! They're entirely different). The action was crunchy and intense, the music was wonderful outside of one misguided track and placement, Ben did great and so did Galdot. I understood everything that went on so I don't know where it's incoherent, and I think it has more depth than it's given credit for, but ultimately style over substance isn't actually a bad thing.	0
38	The Passion of the Christ	Felt like I was there, and as a non-practicing, hook-nosed dirty jew, I appreciated the opportunity to kill your lord a second time.	2
39	The Hobbit: An Unexpected Journey	Where is all the fucking drama? If I wanted to spend three hours with mindless slow-mo action and half-assed one-liners I would have watched some Michael Bay movie. Granted, Hobbit is an eye candy, but that's the only aspect where it shines.  Jackson isn't the same young ambitious director who made LOTR. Too much safe bets makes Hobbit a bland blockbuster, like so many others.	0
40	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	The blackest of comedies, it pokes fun at the terrifying ludicrousness of nuclear warfare; the world set to burn with petty rivalries, hurt feelings and bureaucracy providing the tinder. Kubrick conforms to no comedic conventions with wonderfully awkward silences, starkly realistic sets and deadly serious subject matter all contrasting sharply with the inherent absurdities. Favourite scenes are between Mandrake and Ripper, but Turgidson is also hilarious. The quintessential comedy as catharsis.	2
41	Conan the Barbarian	Ever see a man punch a camel?	1
42	Star Trek	I think Abrams did a fantastic job of converting a tired yet seminal television series into a movie that people actually want to see. Well acted, well paced, and very satisfying. Just don't come expecting a depth beyond the glaze of cool, it remains a product of its nature and further commercialization. I really enjoyed the well orchestrated action sequences and the references that I got, but Star Trek does not transcend its genre, it merely exemplifies it.	2
43	Die Hard	Willis and Rickman are the perfect hero-villain matchup in the perfect action movie. Every single plot execution - apart from how the Feds are so brazenly stupid, but that's part of the charm - and every character, even the one-offs (Hans... Bubi!) works seamlessly. The fact that the dead terrorist's shoes don't fit him speaks volumes to McClane's enduring appeal as the hero that bleeds. Also one of the very few 80's movies that is simultaneously of its time and timeless.	2
44	Mad Max: Fury Road	In this post-apocalyptic wasteland we call The Action Genre anno 2015, an unlikely savior emerges; a 70 year old Australian with a love for talking farm animals and dancing penguins, returns to the world he once created, and shows everyone how this shit is done. An unapologetically baroque, meticulously executed, operatic action masterpiece. What a lovely day indeed!  	2
45	Starship Troopers	This is where it's at. Tits and blood and guns. Starship Troopers is unapologetically a big, dumb action flick. The story is straight 1950's B-horror, and the script and acting are terrible. But, there is TONS of boobs and gore and giant bugs that blow up real good. Oh, and a fat alien slug with a face like a vagina.	0
46	Prometheus	A movie industry professional once told me that some bad movies have great scripts, but it's never the other way around. 'Prometheus' comes awfully close to being an exception to the latter. The first two acts are impressively handled, but in the end Sir Scott's visual flair is defeated by a script from the 'Cowboys and Aliens' dude. Instead of horror it reaches for hard sci-fi, but leaves only simple questions like: Huh? Why was anyone doing what they were doing? And what did it matter, anyway?	1
47	Star Wars: Episode VIII - The Last Jedi	It was about 20 min. into this Disney-licensed toy ad, that I came to the sad realization that Star Wars is no longer a series made for me. In some sterile board room in SoCal, it was decided by a murder of pressed Armanis that Star Wars should no longer be something that *some people loved*, but something that *everyone liked*, and in doing so, they sucked all the magic out of it, choosing to embrace demographic metadata in a corporate cash-grab rather than the hearts of those who remember '77.	1
48	Jurassic World	JW was brought to you by: Beats Audio, Samsung, Starbucks, Brookstone, Viewmaster, Verizon Wireless, Pepsi, Tostitos, Hasbro, Mercedes, Coca Cola, Nikon, Triumph, NBC/Jimmy Fallon, IWC, Ben and Jerry's, IMAX, Jamba Juice, Margaritaville, Hilton, and Pandora. Don't worry though, there are enough shreds of a story in there to keep this 'Logorama' of a film moving along, but not fast enough for you to miss all the plot conveniences and buffoonery packed into each scene. What a wasteful cash-grab.	0
49	Whiplash	Full Music Jacket	1
50	Guardians of the Galaxy	Guardians of the Galaxy is the best Marvel film to-date. It has great action -- CGI overloaded or not -- it's absolutely hilarious, and despite its weird but interesting cast of characters, you'll care about them and their fates by the point when things begin to get serious. It's different from previous Marvel outings, and that's a good thing. It has a great cast, a light plot -- that keeps things moving and little else -- and is one of the most enjoyable times I've had watching a movie.	2
51	Teaching Mrs. Tingle	Let me get this straight; 3 students invade a teacher's home, beat her unconscious, tie her to a bed, and at one point, sexually assault her....and she's the villain and they're good?  Seriously?  	2
52	Before Sunrise	A rare thing: a movie that shows you exactly how & why two characters fall in love. Other romances - even some of the good ones - do a montage to music with snippets of the couple walking, laughing, eating, & (at worst) taking pictures in a photo booth. But you never know exactly why they're laughing or what they're saying. This movie is all about the things those movies leave out. Just the conversations (!) between 2 fully developed characters, not stereotypes. So good it all seems real.  	0
53	Alien	The tone of this film is immaculate.  It is dirty, grimy, industrial-looking, but, most importantly, it is lonely.  The alien is terrifying enough, but Scott, oh so subtly, gives the notion that these people are completely alone and nowhere near any help.  The echos and shadows make the ship like nothing I have seen before in film.  A true leader in the genre.	1
54	Inception	Inception is not a lot of things. It's not a psychological examination into the subconscious nor is it a complex character study. So don't expect it to be one. Instead, the film aspires to be a mindbending adventure heist film set in the realms of dreams and in this regard, the film is flawless. With jawdropping and visceral sequences, it not only engages the intellect but also the emotions as it deals with guilt and loss and being haunted by your past. 	2
55	Jason X	Luminous. A richly textured and morally ambiguous satire of corporate greed and the the ethical morass that compels America's slashers into space. Also, there are boobs in it. 	2
56	Deadpool	Fuckin' A. Fuck 2.5-hour origin stories. Fuck who watches the watchmen. Fuck grade-school Nietzscheisms. Fuck angsting about using your powers. Fuck continuity. Fuck exposition. Fuck loners learning to be a team. Fuck spin-offs. Fuck politics. Fuck contrived misunderstandings. Fuck digital filters that make everything look grey. Fuck dark worlds. Fuck alternate universes. Fuck reboots. Fuck the X-Men. Fuck the MCU. Fuck DC. And fuck Deadpool while you're at it, but you'll have to get in line.	1
57	Let the Right One In	Dark, beautiful and thought provoking. I have to admit the swedes have made the best movie of 2008.	2
58	Memento	A nearly flawless movie.  Memento is a masterpiece of screenwriting and directing.  Not a single scene, shot, or facial expression is wasted.  Every tiny detail is deliberately set in place to clue the viewer in, but the non-linear story keeps us at just the right distance.  A perfectly balanced tight rope act.  Some call the backwards story a gimmick.  It's not.  Rather, it's a crucial tool in bringing us into Leonard's damaged mind.  We're not observing events, we're experiencing them.  	1
59	Hot Fuzz	Outstanding action comedy that manages to work as an over-the-top blockbuster while lovingly lampooning them at the same time. It really stands up to repeat viewings, because the jokes are hilarious, and there is no wasted dialog in the entire movie -- every word serves to set something up for later: it's very economic storytelling that you don't really notice until you see it a few times. The cast is terrific all the way through, especially Timothy Dalton. I find it impossible not to love this.	2
60	Moon	Really great minimalistic sci-fi debut; although the theme is not that complex, its exposition is spun out with great craft, allowing us to share the doubts of the main character while occupying an omniscient point of view. Humour is used well to alleviate the mood. At each plot point, the film seems to make exactly the right decision, and it's a pleasure to just sit back and be hand-held though to the end. The continuous why?s are all answered satisfactorily and with impeccable timing.	2
61	Anomalisa	Someone just stab Pickpocket in the face for the love of fuck EDIT: just saw his blog and he's a massive MRA too, god damn what a turd	0
62	Mission: Impossible - Fallout	Better and worse than the 5th one. The action scenes are exciting, though feel a bit reiterative of the last film (oh boy, another car chase through a European city). The plot is also a bit too bonkers, with the convoluted array of twists and double agents being either predictable or just too much. The elongated ending action sequence is one of the best I've ever seen, showing off some very stunning and ballsy stuntwork that is all an absolute marvel (heh) to watch.	0
63	2001: A Space Odyssey	Timeless - every time I watch this I'm sucked right into it - this is cinema in all its power and awe.	2
64	Drive	Driver's strong silence is that of a classic masculine film protagonist who chooses his words wisely. When he speaks, it's with a purpose; when he looks you in the eye, you damn well better listen. His bold, visceral reactions may shock, but show that he has a heart. There's a slick 80s style from the synth-pop soundtrack and hot-pink font, to Driver's scorpion bomber jacket. It's a sexy film without any sex; it's violent, though that violence happens in quick spikes. Daring and unforgettable. 	2
65	Interstellar	Huge excellent cast. Interesting, intelligent, exciting and engaging story. Great acting and dialog. Wonderful video, music, CGI and SFX. Fun to watch, even though very long. A few awe inspiring moments and if you can accept wormholes is at least somewhat plausible science . But, I didn't like the spooky messages in the dust. A little mushy at the end, but it was good closure to the story. Some flaws, but mostly good.	2
66	Into the Wild	I just could never get behind or all that interested in this guy's journey. He was just as self-absorbed as the parents he is supposedly rising above. If the film weren't so interested in romanticizing his journey, it might have had a better chance at success.	0
67	Thor: The Dark World	It's always fake Loki. It was fake Loki a bunch of times and I called it every time. Knowing that it is fake Loki is like curling up under a warm blanket. Thor will leave you to protect the nine realms but fake Loki will fake Loki fake Loki. See Thor saw fake Loki but knew it was fake Loki so he told fake Loki to real Loki to not fake Loki. Then real Loki real Loki'd, but then fake Loki'd while being real Loki so Thor thought fake Loki fake Loki...aw fuck it.  	2
68	The Good, the Bad and the Ugly	The Good, the Bad, and the Ugly is everything a movie should be.  It's entertaining, it's funny, it's action packed, well acted, has a great score, has really impressive editing, and everything else is on such a high level that it's almost flawless.  There really aren't many films that can go up against this one and be compared favorably.  It's my pick for the best western ever made and it's almost my pick as the best foreign film ever made.  I love this movie.	2
69	Interstellar	Interstellar has shortcomings, but in such an immense display they fall by the wayside. This is the first Nolan film that's felt its length for me, but that's not necessarily bad because it also happens to be his dramatically heaviest film. He achieves something he's often been criticized for lacking: pathos. It's beautifully and uniquely done, as expected, and McConaughey trumps his Oscar-winning role with this performance. This succeeds where Gravity failed: it's a spectacle with a heart.	2
70	Slumdog Millionaire	I hate stories that revolve around ...it was destiny. Okay then why am I supposed to feel inspired or affected by what I just saw? (which is clearly the aim.) The uncaring hand of fate decided this random kid's story for him. Meanwhile the other 99.9% of the slumdogs are stuck in their shit hole , and they can't do a damn thing about it! It's their destiny! yaaaaay..?	0
71	Life of Pi	'Life of Pi' is somewhat of a catch-all religious odyssey aboard a lifeboat.  The ending is wobbly, the message opaque, but the journey is fantastic.  Visually, this is one of the most impressive films I've seen especially in terms of digital effects used to create incredibly lifelike animals.  'Life of Pi' is a tougher film than its PG rating suggests, and I'd advise parents to be cautious of the film's intensity.  Overall, however, I think this is an ambitious and imaginative adventure.	2
72	Star Wars: Episode VII - The Force Awakens	don't worry about spoilers...you've already seen the entire movie. in 1977! well, and '80, because they obviously knew how to pace back then. today's special is mostly a barrage of conveniently placed plot devices mixed with overzealous nostalgia appeasal. it's not all bad, and surely we don't need to discuss production values. but with everything at their disposal, the talent, an entire universe to pick from, all they come up with is a messy rehash? sorry yoda, seems there actually IS a try.	2
73	City of God	Interesting story of boys growing up in the slumps of Rio, one becoming a big gangster and the other trying to stay away from it. Also interesting extra's on the DVD about the drug-war between the police and the gangsters. 	2
74	Star Wars: Episode VII - The Force Awakens	The first half hour is overwhelming in its fluid mastery of light and darkness. Every thing, every totem in this world holds so much weight, so much history. And then, after all sorts of tremendously entertaining blockbuster shenanigans, it ends on the most important one. And you bet the audience could feel it.	2
75	Interstellar	According to the theory of relativity, that's roughly 21 years of my life I'll never get back.	2
76	Anaconda	my most popular review on criticker	2
77	Lost in Translation	Visual poetry.  What is truly refreshing about Lost in Translation is the honesty.  An honest romance film that doesn't pander to the audience and cop out with the ending.  Stated as overrated in many circles, I strongly disagree.  There have been few (if any) greater American love stories on film in the last decade.  Very few films can simultaneously make you feel happy inside, while also making you weep.  Murray was robbed.	2
78	Spring Breakers	Harmony Korine is like the bizarro Terrence Malick. Dayglo hedonism and hallucinatory editing. It's Girls Gone Wild for the arthouse crowd.	2
79	Moonrise Kingdom	Pierrot le fou for children. Wes Anderson for lovers. Bill Murray as an American treasure. Bruce Willis as someone who's uncool. Edward Norton as a funny scoutmaster. A gorgeous film. (two times)	0
80	The Hobbit: The Desolation of Smaug	Shot on location in New Zealand's most picturesque green screens.	2
81	2001: A Space Odyssey	This is Kubrick's gem and film at its best.  What my eyes witnessed was fine tuned beauty within this universe, whether it be natural or artificial. This film makes your mind go in so many ways, as you watch and wonder; are we trying to understand the meaning of the film or the meaning of life itself? It also delivers the greatest villain of all time, HAL9K. 2001 is a fine example of the relationship between art and cinema. A sensory masterpiece.	2
82	Predator	So macho the dvd case had a five o'clock shadow and smelled of cigars.	1
83	Taken	Ahahaha, this movie is totally just 90 minutes of Liam Neeson beating on minorities in Europe and generally just fucking everyone's shit up with extreme prejudice.  It's pretty damn cool.	0
84	Avengers: Age of Ultron	Superhero overload. The last hour makes you never want to watch an action sequence again.	0
85	A Clockwork Orange	A Clockwork Orange always evokes interesting feelings. On one hand it's dark and frightening, but on another it's both funny and colourful. In A Clockwork Orange it's the atmosphere that creates the strongest emotions with me; the powerful music, fine acting and strong direction from Kubrick are all quite memorable.	2
86	Three Billboards Outside Ebbing, Missouri	I found this to be an infuriatingly inauthentic and cutesy depiction of America, violence, anger, and grief. McDonagh seems to treat the whole thing as a farce, then switch into heavy mode whenever it suits him. Totally uneven and lacking in any real semblance of humanism. McDormand, Rockwell, and Caleb Landry Jones (who stuck out for me personally) work with what their given, but it rings false. Biggest pile of bullshit I've been served from from the so-called awards contenders thus far.	0
87	Trance	The annoying thing about TRANCE is that, as a piece of technical filmmaking, it's often remarkable: the cinematography is marvelous (the use of color and shadow is outstanding), the sound and music are fine, and Danny Boyle directs his ass off. And the acting is solid; Rosario Dawson is effective, and Vincent Cassel is a perfect sleaze. But the script is the worst kind of fragmented thriller, with twists that simply irritate and an inconsistently drawn protagonist. After a while, it just bores.	0
88	Snowpiercer	The train is, like, a metaphor for society, bro...	1
89	Godzilla	Damnit! I waited too long to write this review, and now I can't remember a single thing from the movie.	0
